name,profile,country
アート・テイラー,"アート・テイラー（Art Taylor）ことアーサー・テイラー・ジュニア（Arthur S. Taylor, Jr., 1929年4月6日 – 1995年2月6日）は、アメリカ合衆国のハード・バップ・ジャズのドラマーおよびパーカッション奏者。ニューヨーク生まれ。ハード・バップやジャズの完成に貢献した。",1
アート・ブレイキー,アート・ブレイキー（Art Blakey、1919年10月11日 - 1990年10月16日）は、アメリカ合衆国のジャズドラマー。「ナイアガラ・ロール」（Niagara Roll）と呼ばれる特徴的なドラミング奏法で知られ、彼の功績は現在のジャズ界に多大な影響を与えた。,1
アイアート・モレイラ,アイアート・モレイラ（Airto Moreira、1941年8月5日 - ）は、ブラジルのミュージシャン。パーカッショニスト、ドラマー。サンタカタリーナ州生まれ。妻は歌手のフローラ・プリム。,1
アイ高野,アイ 高野（アイ たかの、1951年1月12日 - 2006年4月1日）は、日本の歌手、ドラマー。ソロではあい たかの名義で活動していた時期あり。本名、高野 元成（たかの もとなり）。日本のロック界の重鎮であった。愛称は、本名のもとなりからもっちん。55歳没。,0
会田一輝,,0
青木和義,,0
青木達之,青木 達之（あおき たつゆき、1966年8月15日 - 1999年5月2日）は、日本のミュージシャン、DJ。東京スカパラダイスオーケストラの元ドラマー。,0
青山純,青山 純（あおやま じゅん、1957年3月10日 - 2013年12月3日）は、東京都出身のドラマー。,0
赤間慎,,0
あき,,0
AKI,,0
秋田鋭次郎,,0
AKIHIKO,,0
アキヒロ,,0
秋山隆彦,,0
秋山幸広,,0
AKIRA,,0
Act.,,0
朝倉幸夫,,0
浅沼俊一,,0
浅野良治,"浅野良治（あさの りょうじ、1954年1月20日 - ）は、日本の音楽家。ロックバンド『ゴダイゴ』の元ドラマー。
ゴダイゴのギタリスト浅野孝已の弟。",0
麻生祥一郎,"麻生 祥一郎（あそう しょういちろう、1970年3月20日 - ）は、日本のドラマー、パーカッショニスト。
福岡県生まれ。血液型はA型。身長179cm。1990年から2000年まで「HUMMING BIRD」のドラマーとして活動。解散以降、多くのミュージシャンのライブ、レコーディングのサポート、音楽専門学校の非常勤講師などを務める。",0
アヒト・イナザワ,アヒト・イナザワ（1973年6月6日 - ）は、日本のミュージシャン。福岡県糟屋郡須恵町出身。向井秀徳、田渕ひさ子、中尾憲太郎と結成したナンバーガール（ドラム担当）でデビューし、上京。ナンバーガール解散後は、向井とZAZEN BOYS（ドラム担当）を結成したが、2004年12月30日のライブ（COUNTDOWN JAPAN04/05）を最後に脱退。その後VOLA & THE ORIENTAL MACHINEを結成し、ボーカル・ギターを担当。それに平行して再結成されたBEYONDSにドラムとしても加入、2011年8月5日脱退。,0
阿部薫,阿部 薫（あべ かおる、1959年1月11日 - ）は、日本のドラマー、スタジオ・ミュージシャン、写真家。東京都港区新橋出身。男性。,0
阿部耕作,,0
安倍元彰,,0
新井康徳,,0
荒川浩士,,0
荒川康伸,,0
荒木康弘,,0
あらきゆうこ,"あらき ゆうこ（1974年2月21日 - ）は、日本のミュージシャン、ドラマー。鳥取県出身。
ソロ・プロジェクトmi-guや、様々なバンドのサポートドラマーとして活動している。",0
ARASE,,0
アラン・ホワイト,"アラン・ホワイト（Alan White、1949年6月14日 - 2022年5月26日）は、イングランド出身のロック・ミュージシャン、ドラマー。
プログレッシブ・ロック・バンド「イエス」のメンバーとして知られる。また、イエスに在籍する前に「ビートルズ」のメンバーのソロ・アルバムや様々なセッションに参加した実績を持つ。
ローリング・ストーン誌選出「歴史上最も偉大な100人のドラマー」第35位。2017年、イエス名義で『ロックの殿堂』入り。",1
有田賢,,0
アル・ジャクソン,,1
アール・パーマー,"アール・パーマー (Earl Cyril Palmer, 1924年10月25日 – 2008年9月19日)は米国のドラマーであり、ロックンロールを生み出したプレイヤーの一人と言われる。2000年にロックの殿堂入りを果たしている。
パーマーは、歴史上最も活躍したスタジオ・ミュージシャンの一人と言われており、リトル・リチャードやファッツ・ドミノのほぼ全てのヒット曲を始め、ライチャス・ブラザーズの”You've Lost That Lovin' Feelin'”や無数のテレビや映画のサウンドトラックなど、数千に及ぶレコーディングでプレイしている。ある訃報記事は「彼のプレイした曲のリストは、過去60年間のアメリカのポピュラー音楽の紳士録のようである」と評している。",1
アル・フォスター,アル・フォスター（Al Foster、1943年1月18日 - ）は、アメリカ合衆国・バージニア州リッチモンド生まれのジャズ・ドラマー。,1
アレックス・アクーニャ,アレックス・アクーニャ（Alex Acuña）、本名アレハンドロ・ネシオスープ・アクーニャ（Alejandro Neciosup Acuña、1944年12月12日 - ）は、ペルー出身のドラマーでパーカッショニスト。,1
アレックス・ヴァン・ヘイレン,"アレックス・ヴァン・ヘイレン（Alex van Halen、本名：Alexander Arthur van Halen、1953年5月8日 - ）は、アメリカのドラマー、音楽家。ハードロックバンド、ヴァン・ヘイレンのドラマーで、同バンドのギタリストのエドワード・ヴァン・ヘイレンは実弟。姓はオランダでは「ファン・ハーレン」と読むが、この兄弟に関してはオランダ生まれながら英語読みの「ヴァン・ヘイレン」が一般化したようである。
オランダのナイメーヘン生まれ。父親はオランダ人、母親はインドネシア系である。1962年にアメリカに移住。ヴォルフガング・ヴァン・ヘイレンは甥に当たる。身長183cm。
「ローリング・ストーン誌の選ぶ歴史上最も偉大な100人のドラマー」において32位。",1
アレックス・スペンス,,1
アンダース・ヨハンソン,アンダース・ヨハンソン (Anders Johansson 1962年5月25日 - )は、スウェーデン・ヨーテボリ生まれのヘヴィメタル・ドラマー。父はジャズピアニストのヤン・ヨハンソン、実弟はフィンランドのパワーメタルバンド「ストラトヴァリウス」のキーボーディスト・イェンス・ヨハンソン。,1
アンディ・スターマー,アンディ・スターマー（Andy Sturmer、1965年3月11日 - ）は、アメリカ合衆国のミュージシャン、作曲家、ソングライター、音楽プロデューサー。彼はビートニク・ビーチという音楽バンドの結成メンバーであり、そのバンドはジェリーフィッシュの前身バンドである。,1
アンディ・ニューマーク,アンディ・ニューマーク（英語: Andy Newmark、1950年7月14日 - ）は、アメリカ合衆国の白人ドラマーである。,1
アンディ・ビューズ,,1
アンドリュー・マカロック,アンドリュー・マカロック（Andrew McCulloch、1945年11月19日 - ）は、イングランド出身の元ドラマー、ヨット指導者（ヨットマスター）およびセーリング競技指導者、実業家。別名アンディ・マカロック（Andy McCulloch）。,1
アンディ・ウォード,アンディ・ウォード（Andy Ward、1952年9月28日 - 、イングランド・エプソム出身）は、イングランドのプログレッシブ・ロック・ドラマーである。,1
アントニオ・サンチェス,"アントニオ・サンチェス（Antonio Sánchez、1971年11月1日 - ）は、メキシコ系アメリカ人のジャズ・ドラマーにして作曲家であり、ジャズ・ギタリストであるパット・メセニーとの仕事で最もよく知られている。
2014年、アレハンドロ・ゴンサレス・イニャリトゥ監督の映画『バードマン あるいは（無知がもたらす予期せぬ奇跡）』のオリジナル・スコアを担当して、その人気が高まった。サウンドトラック・アルバムは、2014年10月14日にリリースされた。このスコアにより、「ゴールデングローブ賞 作曲賞」と「英国アカデミー賞 作曲賞」にノミネートされ、「放送映画批評家協会賞 作曲賞」と「サテライト賞 作曲賞」を獲得した。",1
アントン・フィグ,アントン・フィグ（Anton Fig、1952年8月8日 - ）は、南アフリカ・ケープタウン出身のドラマー、打楽器奏者。,1
イアン・ウォーレス,イアン・ラッセル・ウォーレス（英語: Ian Russell Wallace、1946年9月29日 - 2007年2月22日）は、イングランド出身のミュージシャン。ドラマー。キング・クリムゾンの元メンバーであり、またボブ・ディランなど多くのミュージシャンとセッション活動を行った。,1
イアン・ペイス,"イアン・ペイス（Ian Paice, 本名 Ian Anderson Paice, 1948年6月29日 - ）は、イングランド出身のロックミュージシャン、ドラマー。ハードロックバンド、ディープ・パープル唯一のオリジナル・メンバー。1960年代からロック・シーンの第一線で活動を続け、ディープ・パープルの他にも数多くのバンドで演奏した業界の第一人者として知られる。身長170cm。サングラスがトレードマーク。
「ローリング・ストーン誌選出「歴史上最も偉大な100人のドラマー」9位。2016年、ディープ・パープルの一員としてロックの殿堂入りを果たした。",1
イェスパー・ストロムブラード ,"クラス・ホーカン・イェスパー・ストロムブラード(Clas Håkan Jesper Strömblad、1972年11月28日 - )は、スウェーデン、イェーテボリ出身のヘヴィメタルミュージシャン。主にイン・フレイムスや、ディメンション・ゼロなどに於けるギタリストとしての活動で著名。現在はサイラ、ザ・ヘイロー・エフェクトのギタリストとして活動している。また、ギター以外にもベースやドラムス、キーボードも演奏し、マルチプレイヤーとしても知られる。
2004年にギターワールド誌の『GUITAR WORLD's 100 Greatest Heavy Metal Guitarists Of All Time』では、イン・フレイムスで同僚のビョーン・イエロッテと共に、70位に選出された。これは、メロディックデスメタル系のギタリストとしては最上位である。",1
飯泉良平,,0
五十嵐公太,五十嵐 公太（いがらし こうた、1963年1月17日 - ）は、日本のドラマー。神奈川県川崎市出身。桐蔭学園高等学校、武蔵大学社会学部卒業。血液型はO型。元JUDY AND MARY、T.V.のメンバー。スタジオ・ミュージシャンとして活動。洗足学園音楽大学 音楽学部（ロック&ポップス）ドラムコース講師。,0
池畑潤二,池畑 潤二（いけはた じゅんじ、1958年10月20日 - ）は、日本のドラマー。福岡県大牟田市生まれ、福岡県北九州市若松区出身。,0
Isao Cato,"Isao Cato（いさお かとう、1982年 - ）は、日本のドラマー、パーカッション奏者。
東京都練馬区出身。血液型はA型。JAPA Blocoの打楽器隊総責任者、森下玲可のステージドラマー、スタジオ・ミュージシャンとしても活動。ブラジルのEscola de Sambaを領域に研究、執筆活動を行なっている。楽器メーカーZildjain、ASPR、Conteporânea、Lerniのエンドーサー。ブラジル連邦共和国・サンパウロのソウザリマ音楽大学のNúcleo de Percussão SL ドラム科、パーカッション科出身。ドラマーの東原力哉に師事。",0
石井智,,0
石川晶,石川 晶（いしかわ あきら、1934年11月10日 - 2002年2月10日）は、日本のジャズ・ドラマー、スタジオ・ミュージシャン。,0
石川広志,石川 広志（いしかわ ひろし、1960年（昭和35年）6月22日 - ）は、日本の打楽器奏者。千葉県柏市在住、長崎県長崎市（実家は時津町）出身。11歳から打楽器を始め、吹奏楽団、交響楽団、ビッグバンドを経て、現在スタジオミュージシャンとして活躍中。ファンや仲間内では「チョーさん」や「ミック」の愛称で親しまれている。,0
石川雅春,,0
石塚明彦,,0
泉川直毅,,0
白水,,0
礒田良雄,,0
伊地知潔,,0
Ichi-low,,0
伊藤薫,伊藤 薫（いとう かおる、1954年4月10日 - ）は、日本のドラマー、舞台監督。福岡県出身、身長183cm、血液型O型。なお、「ラヴ・イズ・オーヴァー」などで知られる作詞家・作曲家の伊藤薫とは同姓同名の別人。,0
伊藤大助,,0
伊藤大地,伊藤 大地（いとう だいち、1980年3月8日 - ）は、日本のドラマーである。東京都出身。,0
乾純,,0
井上正,,0
猪俣猛,猪俣 猛（いのまた たけし、1936（昭和11）年2月6日 - ）は、兵庫県宝塚市出身のジャズドラマー。楽器はヤマハを使用。,0
伊吹文裕,伊吹 文裕（いぶき ふみひろ、1990年8月27日 - ）は、日本のドラマー。北海道帯広市出身。O型。,0
今井義頼,,0
今川ツトム,,0
今村舞,今村 舞（いまむら まい、1975年8月14日 - ）は、日本のドラマー。福岡県出身。SUPER EGG MACHINEの元メンバー。血液型はO型。愛称はまいまい。,0
IWASAKI,,0
岩田ガンタ康彦,岩田 ガンタ康彦（いわたガンタやすひこ、1962年12月7日 - ）は、日本のミュージシャン、ドラマー。福井県出身。,0
岩田裕二,,0
インゴ・シュヴィヒテンバーグ,インゴ・シュヴィヒテンバーグ（Ingo Schwichtenberg、インゴ・シュヴィヒテンベルク 1965年5月18日 - 1995年3月8日）は、ドイツ・ハンブルク出身の元ドラマー。ジャーマンメタルバンドとして有名なハロウィンで活躍した。,0
上田雅利,上田 雅利（うえだ まさとし、1950年10月2日 - ）は、チューリップのドラマー。福岡県福岡市出身。,0
植田芳暁,植田 芳暁（うえだ よしあき、本名・大串 安広、1948年2月7日 - ）とは、神奈川県横浜市生まれ、川崎市育ちのミュージシャン、ドラマー、ギタリスト、コーラスアレンジャー。バンドグループ「加瀬邦彦とザ・ワイルドワンズ」のメンバーである。 愛称は「ワタリ」（GSブーム時）、「がしあき」。,0
上野智代,,0
上原彰兼,上原 彰兼（うえはら あきかね、1983年8月27日 - ）は日本のミュージシャン、ドラマー。通称はあっくん、どら息子。元ロードオブメジャーのメンバーである。現在はOne love for peaceという5人組バンドに所属している。血液型はAB型。沖縄県那覇市出身。,0
上原裕,上原 裕（うえはら ゆたか、1953年12月14日 - ）は、日本のミュージシャン（ドラマー）。,0
ヴァーネル・フォーニア,"ヴァーネル・フォーニア（Vernel Fournier, 1928年 - 2000年11月7日）はアメリカのジャズ・ミュージシャン、ドラマー。
アメリカ合衆国ルイジアナ州ニューオーリンズ生まれ。
1950年代後半、ピアニストのアーマッド・ジャマル率いるトリオのドラマーとして活躍。
ジャズ・ミュージシャンとしてはさほど有名ではないが、ジャズ・ドラマーのあいだではブラシの名手としてリスペクトされている。",1
ヴァージル・ドナッティー,,1
ヴァルグ・ヴィーケネス,"ヴァルグ・ヴィーケネス (Varg Vikernes、ノルウェー語: [ˈʋɑrɡ ˈʋiːkəɳeːs]、1973年2月11日 - )は、ノルウェーのミュージシャン、作家、殺人犯、元受刑者。出生名は、クリスティアン・ラーション・ヴィーケネス (Kristian Larsson Vikernes)であり、後にVargに改名している。また、現在の法的な名前は、ルイ・カシェ (Louis Cachet)。音楽活動では、カウント・グリシュナック (Count Grishnackh)と名乗っている。日本では、カウント・グリシュナックか、名前の英語読みのヴァーグ・ヴァイカーネスと書かれる事が多い。
1991年にソロプロジェクトのバーズムを結成し、ノルウェーの初期ブラックメタルシーンでの中心的な存在となる。伝えられるところによれば、1992年、少なくともノルウェーのキリスト教の教会の3棟の焼失に、ノルウェーブラックメタルシーンのメンバーらと共に関わっていたとされる。1993年初頭、ヴィーケネスはバーズムのアルバム4枚分の楽曲と、メイヘムの1stアルバム『De Mysteriis Dom Sathanas』のレコーディングに携わっている。同年8月10日に、メイヘムのギタリスト、ユーロニモス（オイスタイン・オーシェト）が刺殺され、ヴィーケネスが殺人罪で逮捕・起訴された。1994年5月、ヴィーケネスはユーロニモスの殺人と教会への放火罪によって、懲役21年の判決を受けた。ヴィーケネスは、ユーロニモスの殺人については正当防衛を主張し、教会への放火については自身の責任を否定している。
刑務所に収監されている間、""オダリズム""の信奉団体・Heathen Frontに加入し、ゲルマン民族のペイガニズムに関する本を数冊出版している。更に、ヴィーケネスはダーク・アンビエントアルバム2枚をバーズムのアルバムとしてリリースている。約15年の服役を経て、ヴィーケネスは2009年初頭に仮釈放された。釈放後、ヴィーケネスは妻子とともにフランスに移住。移住後は音楽活動を再開し、作家活動も続けている。ヴィーケネスは作家活動を通じて、ネオ＝フェルキシュ・イデオロギー（オダリズム）の奨励を行っている。このイデオロギーは、白人ヨーロッパ人が再び取り入れるべき""ヨーロッパ人本来の価値観""という考えを基礎にしている。そこには、伝統的なペイガニズムの要素も含まれている。そして、ヴィーケネスはホワイト・ナショナリズムや社会保守主義、生存主義を主張している。",1
ヴィットーリオ・シクバルディ,"ヴィットーリオ・シクバルディ（Vittorio Sicbaldi）は、イタリアのジャズのドラマー。
イタリア・サルデーニャ州カリャリ出身。",1
ヴィニー・アピス,ヴィニー・アピス（Vinny Appice 、1957年9月13日 - ）は、アメリカのロック・ドラマー、作曲家。ブラック・サバス、ディオなどでの活動で有名。ヴァニラ・ファッジ、ベック・ボガート & アピス、キング・コブラ等で活躍したカーマイン・アピスの実弟。,1
ヴィニー・カリウタ,"ヴィニー・カリウタ（Vinnie Colaiuta、1956年2月5日 - ）は、イタリア系アメリカ人のドラマー。ロサンゼルスを拠点に活動中。
「ローリング・ストーン誌の選ぶ歴史上最も偉大な100人のドラマー」において14位。",1
ウィリー・ボボ,"ウィリー・ボボ（Willie Bobo、本名:William Correa、1934年2月28日 - 1983年9月15日）は、アメリカのラテンジャズ・パーカッショニスト。コンガやティンバレスの演奏者。
息子のエリック・ボボ（エリック・コリア）はサイプレス・ヒルのメンバー。",1
ヴェサ・ランタ,ヴェサ・ランタ (Vesa Ranta、1973年7月20日 - ）は、フィンランドのヘヴィメタルミュージシャン（ドラマー）、写真家、グラフィックデザイナー（イラストレーター）。ヘヴィメタルバンド、センテンストのドラマーとして著名。,1
ウォーレン・カン,,1
ウガンダ・トラ,"ウガンダ・トラ（本名：佐藤 信一郎（さとう しんいちろう）、1952年6月6日 - 2008年5月31日）は、日本のタレント、ドラマー。『ビジーフォー』元メンバー。身長175cm、体重120kg。
東京都港区六本木出身。渡辺プロダクション→アミー・パーク所属。芸名は、容姿が似ていたウガンダのイディ・アミン元大統領に由来するが、それ以外にウガンダ共和国との接点はない。",0
内田武瑠,,0
内田稔,"内田 稔（うちだ みのる、1927年3月18日 - 2018年4月2日）は、日本の俳優・声優。本名は同じ。
岡山県倉敷市出身。岡山縣倉敷工業學校（現・岡山県立倉敷工業高等学校）機械科卒業。文学座を経て、劇団昴に所属。
妻は同じく昴所属の女優の新村礼子（2011年死別）。",0
宇津本直紀,"宇津本 直紀（うづもと なおき、NAOKI UZUMOTO、1967年3月29日 - ）は、日本のドラマー、作曲家、作詞家、音楽プロデューサー、専門学校講師。
山口県岩国市美和町出身。
明治大学政治経済学部卒業。",0
宇乃かつを,宇乃 かつを（うの かつを、1966年6月9日 - ）は、神奈川県出身の日本のミュージシャン。担当分野は、作曲、編曲、演奏にて、主に劇伴の制作。ギター、キーボード、シンセサイザー、デジタル・オーディオ・ワークステーション、ドラムセット、ボーカル、指揮、音楽監督など。,0
宇野忠,,0
うめ,,0
浦田賢一,,0
浦山一悟,,0
ウリ・カッシュ,ウリ・カッシュ（Ulrich Kusch、ウルリヒ・クッシュ 1967年3月11日 - ）は、ドイツ・アーヘン出身のヘヴィメタル系列のドラマー。ガンマ・レイ、ハロウィン、マスタープランなどに参加した。身長181cm。,1
鋭葵,,0
エイドリアン・アーランドソン ,"エイドリアン・アーランドソン (Adrian Erlandsson、1970年10月27日 - )は、スウェーデン・マルメ出身のミュージシャン、ドラマー。アット・ザ・ゲイツやクレイドル・オブ・フィルス等での活動で有名。現在まで、さまざまなバンドに参加している。
アーチ・エネミーやカーカスで活動するドラマー、ダニエル・アーランドソンは実弟。",1
英竜介,,0
エインズレー・ダンバー,"エインズレー・ダンバー (Aynsley Dunbar、1946年1月10日 - )は、イギリス人ドラマー。本名は、エインズレー・トーマス・ダンバー(Aynsley Thomas Dunbar)。ジョン・メイオール&ザ・ブルースブレイカーズ、ザ・マザーズ・オブ・インヴェンション、ジェファーソン・スターシップ、ホワイトスネイク、ジャーニーなど錚々たるビッグネームのバンドで活躍したベテランである。抜群のリズムキープ力と音数の多さ、相反するヘヴィなヒッティングが特徴。
「ローリング・ストーン誌の選ぶ歴史上最も偉大な100人のドラマー」において27位。
2017年4月17日、ジャーニーの元メンバーとしてロックの殿堂入りした。",1
江川ゲンタ,,0
江口信夫,江口 信夫（えぐち のぶお、1958年10月5日 - ）は、日本のドラマー、音楽プロデューサー、作曲家、編曲家。東京都出身。フェイス音楽出版所属。血液型はAB型。,0
江島啓一,,0
越一人,,0
エツコ,,0
エットレ・リゴッティ,"エットレ・リゴッティ (Ettore Rigotti、1979年4月24日 - )は、イタリアのヘヴィメタルミュージシャン、音楽プロデューサー、レコーディング・エンジニア。主にメロディックデスメタル等のヘヴィメタルの分野で活動している。
ミュージシャンとしては、ボーカル、ギター、ベース、キーボード、ドラムスを演奏するマルチプレイヤーである。また、後述のように、音楽エンジニアとしての面も持ち、作曲家や編曲家としても活動している。
トリノにあるレコーディング・スタジオ、The Metal Houseのオーナーであり、レコードレーベルのコロナー・レコードのオーナーでもあるなど、経営者としても活動している。また、過去にはdB Studioというレコーディング・スタジオを所有していた。",1
エデン東,,0
衛藤浩一,衛藤浩一 （えとう こういち、1963年6月8日-）は、日本のドラム奏者。THE GOOD-BYEのドラマー、ボーカル。フォトグラファー。大分県出身。身長・160cm、体重・47kg、血液型・AB型。 既婚。一女の父。 愛称は「こーちゃん」、「スマープ」。,0
エド・ウドハス,,1
エド・グラハム,"エド・グラハム（Ed Graham、本名：Edwin James Graham、1977年2月20日 - ）は元ザ・ダークネスのドラマーである。イギリス・ノーフォークのグレート・ヤーマス出身。メンバーであるホーキンス兄弟とは学友である。
ホーキンス兄弟が電話でベネズエラからフランキー・ポーレインを呼び戻した後に、当時他のバンドに籍を置いていたエドがホーキンス兄弟からの電話を受け、「ザ・ダークネス」結成に至った。",1
江藤良人,江藤 良人（えとう よしひと、1973年4月14日 - ）は三重県出身のドラマー。,0
EBY,,0
エリック・カー,ポール・チャールズ・キャラヴェロ（Paul Charles Caravello、1950年7月12日 – 1991年11月24日、ニューヨーク・ブルックリン出身）はアメリカのミュージシャン、ドラマー。1981年から死去までエリック・カー（Eric Carr）の芸名でキッスのメンバーとして活躍した。,1
エリック・シンガー,"エリック・シンガー（Eric Singer、1958年5月12日 - ）は、アメリカ合衆国オハイオ州クリーブランド出身のロック・ミュージシャン、ドラマー。
HR/HMの分野で幅広く活躍。非常に多くのミュージシャンと仕事をしているが、特にキッスでの活動で有名。",1
エリック・ハーランド,,1
エルヴィン・ジョーンズ,エルヴィン・ジョーンズ（Elvin Jones、1927年9月9日 - 2004年5月18日）は、アメリカのジャズ・ミュージシャン、ドラム奏者。,1
大石貴義,,0
大石尚徳,,0
大内優 (ドラマー),,0
大金ハルヤ,,0
大北公登,,0
大口,,0
大口広司,大口 広司（おおぐち ひろし、1950年11月28日 - 2009年1月25日）は、埼玉県出身で1960年代を代表するグループ・サウンズ『ザ・テンプターズ』およびウォッカ・コリンズのドラマー。その後は俳優業へ転身する傍ら、一時は服飾デザイナーとしても活動した。,0
大久保敦夫,大久保 敦夫（おおくぼ あつお、1964年4月11日 - ）は、日本のドラマー。,0
大久保宙,大久保 宙（おおくぼ ひろし、1975年 - ）は日本の打楽器奏者。ニックネームはちゅうさん。,0
大倉忠義,大倉 忠義（おおくら ただよし、1985年〈昭和60年〉5月16日 - ）は日本の歌手、ドラマー、俳優、タレント。大阪府東大阪市出身。ジャニーズ事務所所属。関ジャニ∞のメンバーであり、主にドラムを担当している。,0
大坂昌彦,大坂 昌彦（おおさか まさひこ、1966年9月28日 - ）は、秋田県横手市出身のジャズドラマー。,0
大島賢治,大島 賢治（おおしま けんじ、1964年12月30日 - ）は、東京都小金井市出身のドラマー。忌野清志郎 & 2・3'SやTHE HIGH-LOWSのメンバーとしても知られる。現在はセッションドラマーや音楽プロデューサー・作曲家・アレンジャーとしても活動中。愛称は「おーちゃん」。サッカー好き。使用機材やグッズにはイニシャルから「KO」ロゴが使用される。,0
O-JIRO,,0
太田明,,0
大竹茂,,0
大橋彩香,"大橋 彩香（おおはし あやか、1994年9月13日 - ）は、日本の女性声優、歌手、ドラマー。
埼玉県浦和市（現さいたま市）出生、東京都出身。ホリプロインターナショナル（事務所）、ランティス（レコードレーベル）に所属。
代表作に『アイカツ!』シリーズ（紫吹蘭、香澄夜空、明日香ミライ）、『アイドルマスター シンデレラガールズ』（島村卯月）、『ドキドキ!プリキュア』（ランス）、『BanG Dream!』（山吹沙綾）、『マギアレコード 魔法少女まどか☆マギカ外伝』（秋野かえで）、『ウマ娘 プリティーダービー』（ウオッカ）などがある。",0
大古殿宗大,,0
大間ジロー,大間 ジロー（おおま ジロー、本名：大間 仁世（おおま ひとせ）、1954年5月14日-　）は、日本のドラマー・音楽プロデューサー。オフコースの元メンバー。通常は通名の「ジロー」を名乗っているが、作詞・作曲のクレジットでは本名の「大間仁世」を名乗っている。カノウプスのドラムセットを使用。身長165cm。,0
OKAZAKI,,0
岡地曙裕,,0
オガワミチオ,,0
オグ,,0
小倉誠司,,0
小黒哲也,,0
長田昌之,,0
小沢亜子,,0
小田ヒトシ,,0
小田原豊 ,小田原 豊（おだわら ゆたか、1963年2月6日 - ）は、埼玉県浦和市（現：さいたま市）出身のドラマー・プロデューサー。血液型はB型。,0
岡本郭男,"岡本 郭男（おかもと あつお、1955年12月14日 - ）は、京都府舞鶴市出身のドラマー、スタジオ・ミュージシャンである。
ヤマハネム音楽院（現 ヤマハ音楽院）中退。19歳の時に浜田省吾に誘われ、「愛奴」でデビュー。解散後、スタジオ・ミュージシャンとして活動開始。松山千春、チェリッシュらのレコーディングやライブ・サポート等を経て、「スペクトラム」に参加。スペクトラム解散後は、スタジオやライブ・サポートの場面で活動しながら、「AB'S」を結成、1990年代には「THE TRIPLE X」に参加。2007年からはブラス・ロックバンド「BLUFF」、2009年にはSHŌGUN（参加当時はSHŌGUN STYLE名義）に参加するなど、バンド活動も続けている。フリースピリット音楽芸能学園のドラム科講師を務めるなど、後進の育成にも力を注いでいる。",0
小澤浩史,,0
"小畑""PUMP""隆彦",,0
